                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 2.6596,                 3.5743,                 3.3404,                 3.4874,                0.25643,                0.20915,                0.14786,                0.05234,                0.21809,                0.19145,                0.13452,                0.04112,                 2.4226,                 4.4768,                 3.0562,                 3.5568,               0.001469,               0.001469,               0.001469
                     63,                 2.6989,                 3.4849,                 3.1885,                 3.5401,                0.25643,                0.20915,                0.14786,                0.05234,                0.21809,                0.19145,                0.13452,                0.04112,                 2.4226,                 4.4768,                 3.0562,                 3.5568,              0.0014657,              0.0014657,              0.0014657
                     64,                 2.7165,                 3.5772,                 3.2882,                   3.57,                0.26551,                0.23017,                0.15708,                0.05296,                0.25068,                0.22258,                 0.1513,                0.04607,                 2.3831,                 3.8807,                 3.0404,                 3.4001,              0.0014624,              0.0014624,              0.0014624
                     65,                 2.7953,                  3.529,                  3.393,                 3.5674,                0.26551,                0.23017,                0.15708,                0.05296,                0.25068,                0.22258,                 0.1513,                0.04607,                 2.3831,                 3.8807,                 3.0404,                 3.4001,              0.0014591,              0.0014591,              0.0014591
                     66,                 2.6282,                  3.713,                 3.3318,                  3.482,                0.26551,                0.23017,                0.15708,                0.05296,                0.25068,                0.22258,                 0.1513,                0.04607,                 2.3831,                 3.8807,                 3.0404,                 3.4001,              0.0014558,              0.0014558,              0.0014558
                     67,                 2.8342,                 3.4047,                 3.3286,                 3.5923,                0.30259,                0.24479,                0.18107,                0.06536,                0.25385,                0.23193,                0.17471,                0.06488,                 2.3404,                 3.5262,                 2.9681,                 3.3008,              0.0014525,              0.0014525,              0.0014525
                     68,                 2.7451,                 3.4916,                 3.2151,                  3.522,                0.30259,                0.24479,                0.18107,                0.06536,                0.25385,                0.23193,                0.17471,                0.06488,                 2.3404,                 3.5262,                 2.9681,                 3.3008,              0.0014492,              0.0014492,              0.0014492
                     69,                 2.6723,                 3.6404,                 3.3273,                 3.4772,                0.30259,                0.24479,                0.18107,                0.06536,                0.25385,                0.23193,                0.17471,                0.06488,                 2.3404,                 3.5262,                 2.9681,                 3.3008,              0.0014459,              0.0014459,              0.0014459
                     70,                 2.6259,                  3.498,                 3.1361,                 3.4815,                0.32726,                 0.2879,                0.21977,                0.08455,                0.28444,                0.27141,                0.20801,                0.08092,                 2.3237,                 3.4568,                 3.1312,                 3.2926,              0.0014426,              0.0014426,              0.0014426
                     71,                 2.6399,                 3.1644,                 3.3512,                 3.5158,                0.32726,                 0.2879,                0.21977,                0.08455,                0.28444,                0.27141,                0.20801,                0.08092,                 2.3237,                 3.4568,                 3.1312,                 3.2926,              0.0014393,              0.0014393,              0.0014393
                     72,                 2.6827,                 3.1676,                 3.2388,                 3.5347,                0.32726,                 0.2879,                0.21977,                0.08455,                0.28444,                0.27141,                0.20801,                0.08092,                 2.3237,                 3.4568,                 3.1312,                 3.2926,               0.001436,               0.001436,               0.001436
                     73,                 2.5861,                 3.2536,                 3.1775,                 3.4567,                 0.3136,                0.26103,                0.21676,                0.07588,                0.46497,                0.29851,                0.31314,                0.10172,                 2.3414,                 3.4976,                 3.4906,                 3.3183,              0.0014327,              0.0014327,              0.0014327
                     74,                 2.7045,                  3.376,                 3.1888,                 3.5164,                 0.3136,                0.26103,                0.21676,                0.07588,                0.46497,                0.29851,                0.31314,                0.10172,                 2.3414,                 3.4976,                 3.4906,                 3.3183,              0.0014294,              0.0014294,              0.0014294
                     75,                 2.6164,                 3.3916,                 3.5016,                 3.5683,                 0.3136,                0.26103,                0.21676,                0.07588,                0.46497,                0.29851,                0.31314,                0.10172,                 2.3414,                 3.4976,                 3.4906,                 3.3183,              0.0014261,              0.0014261,              0.0014261
                     76,                 2.5943,                 3.4412,                 3.0351,                 3.3865,                0.24007,                0.31171,                0.20425,                0.06857,                0.31421,                 0.3833,                0.25889,                0.08654,                 2.3253,                 3.4357,                 3.1267,                 3.3185,              0.0014228,              0.0014228,              0.0014228
                     77,                 2.7604,                 3.3439,                 3.1839,                 3.5219,                0.24007,                0.31171,                0.20425,                0.06857,                0.31421,                 0.3833,                0.25889,                0.08654,                 2.3253,                 3.4357,                 3.1267,                 3.3185,              0.0014195,              0.0014195,              0.0014195
                     78,                 2.7595,                 3.4172,                  3.378,                  3.501,                0.24007,                0.31171,                0.20425,                0.06857,                0.31421,                 0.3833,                0.25889,                0.08654,                 2.3253,                 3.4357,                 3.1267,                 3.3185,              0.0014161,              0.0014161,              0.0014161
                     79,                 2.7189,                   3.45,                 3.2598,                  3.558,                0.17461,                0.37674,                 0.1412,                0.05587,                0.20029,                0.38251,                0.15236,                0.06295,                 2.2485,                 3.3612,                 3.1257,                 3.2418,              0.0014128,              0.0014128,              0.0014128
                     80,                 2.6898,                 3.3239,                 3.1876,                 3.4705,                0.17461,                0.37674,                 0.1412,                0.05587,                0.20029,                0.38251,                0.15236,                0.06295,                 2.2485,                 3.3612,                 3.1257,                 3.2418,              0.0014095,              0.0014095,              0.0014095
                     81,                 2.5408,                 3.3259,                 3.4643,                 3.4021,                0.17461,                0.37674,                 0.1412,                0.05587,                0.20029,                0.38251,                0.15236,                0.06295,                 2.2485,                 3.3612,                 3.1257,                 3.2418,              0.0014062,              0.0014062,              0.0014062
                     82,                 2.5325,                 3.2494,                 2.8603,                 3.3678,                 0.1542,                0.26643,                0.13946,                 0.0551,                0.18714,                0.27536,                0.16014,                0.06105,                 2.2298,                 3.3146,                  3.212,                 3.2299,              0.0014029,              0.0014029,              0.0014029
                     83,                 2.5576,                 3.4878,                 3.2855,                 3.4025,                 0.1542,                0.26643,                0.13946,                 0.0551,                0.18714,                0.27536,                0.16014,                0.06105,                 2.2298,                 3.3146,                  3.212,                 3.2299,              0.0013996,              0.0013996,              0.0013996
                     84,                 2.6278,                 3.1649,                 3.0438,                 3.4266,                 0.1542,                0.26643,                0.13946,                 0.0551,                0.18714,                0.27536,                0.16014,                0.06105,                 2.2298,                 3.3146,                  3.212,                 3.2299,              0.0013963,              0.0013963,              0.0013963
                     85,                 2.6587,                 3.3134,                 3.3473,                  3.505,                 0.1516,                0.34197,                 0.1452,                0.05626,                0.17463,                 0.3509,                0.16618,                0.05931,                 2.1889,                  3.227,                 3.0762,                 3.1924,               0.001393,               0.001393,               0.001393
                     86,                 2.8004,                 3.3923,                 3.3123,                 3.4771,                 0.1516,                0.34197,                 0.1452,                0.05626,                0.17463,                 0.3509,                0.16618,                0.05931,                 2.1889,                  3.227,                 3.0762,                 3.1924,              0.0013897,              0.0013897,              0.0013897
                     87,                 2.7522,                 3.5962,                 3.5419,                 3.4713,                 0.1516,                0.34197,                 0.1452,                0.05626,                0.17463,                 0.3509,                0.16618,                0.05931,                 2.1889,                  3.227,                 3.0762,                 3.1924,              0.0013864,              0.0013864,              0.0013864
                     88,                 2.6204,                  3.412,                 3.1073,                 3.3829,                0.12405,                0.36884,                0.14401,                0.05836,                0.20725,                0.21393,                0.18392,                0.06856,                  2.194,                 3.1934,                 3.2079,                 3.1816,              0.0013831,              0.0013831,              0.0013831
                     89,                 2.6784,                 3.4486,                 3.3658,                 3.4743,                0.12405,                0.36884,                0.14401,                0.05836,                0.20725,                0.21393,                0.18392,                0.06856,                  2.194,                 3.1934,                 3.2079,                 3.1816,              0.0013798,              0.0013798,              0.0013798
                     90,                 2.4903,                 3.2265,                 3.0665,                 3.3611,                0.27478,                0.36441,                0.22601,                0.09042,                0.25486,                0.36441,                0.23137,                0.09189,                 2.1606,                 3.3615,                 2.9903,                 3.1474,              0.0013765,              0.0013765,              0.0013765
                     91,                  2.732,                 3.7691,                 3.2273,                 3.4687,                0.27478,                0.36441,                0.22601,                0.09042,                0.25486,                0.36441,                0.23137,                0.09189,                 2.1606,                 3.3615,                 2.9903,                 3.1474,              0.0013732,              0.0013732,              0.0013732
                     92,                 2.5853,                 3.3375,                 3.3766,                 3.5104,                0.27478,                0.36441,                0.22601,                0.09042,                0.25486,                0.36441,                0.23137,                0.09189,                 2.1606,                 3.3615,                 2.9903,                 3.1474,              0.0013699,              0.0013699,              0.0013699
                     93,                 2.5349,                 3.0878,                 3.0174,                 3.3625,                0.28892,                 0.2757,                 0.2138,                0.08402,                0.27714,                0.31091,                0.21247,                0.08645,                  2.131,                 3.8711,                  3.073,                 3.1409,              0.0013666,              0.0013666,              0.0013666
